date,id,DeathsR,CasesR
2020-04-12,0,296,4661
2020-04-13,0,332,5014
2020-04-14,0,406,5399
2020-04-15,0,449,5847
2020-04-16,0,486,6297
2020-04-17,0,546,6875
2020-04-18,0,650,7497
2020-04-19,0,686,8261
2020-04-20,0,712,8772
2020-04-21,0,857,9501.0
2020-04-22,0,970,10544
2020-04-23,0,1069,11633
2020-04-24,0,1221,12872
2020-04-25,0,1305.0,13842
2020-04-26,0,1351,14676
2020-04-27,0,1434,15529
2020-04-28,0,1569,16752
2020-04-29,0,1732,17799
2020-04-30,0,1859,19224
2020-05-01,0,1972,20739.0
2020-05-02,0,2061,22088
2020-05-03,0,2154,23471
2020-05-04,0,2270,24905
2020-05-05,0,2507,26025
2020-05-06,0,2704,27634
2020-05-07,0,2961,29616
2020-05-08,0,3160,31522
2020-05-09,0,3353,33460
2020-05-10,0,3465,35022
2020-05-11,0,3573.0,36327
2020-05-12,0,3926,38324
2020-05-13,0,4220,40186
2020-05-14,0,4477,42595
2020-05-15,0,4767,45032
2020-05-16,0,5045,47144.0
2020-05-17,0,5177,49219
2020-05-18,0,5332,51633
2020-05-19,0,5666,54346
2020-05-20,0,6090,56594
2020-05-21,0,6510,59567
2020-05-22,0,6989,62527
2020-05-23,0,7179,65856.0
2020-05-24,0,7394,68620.0
2020-05-25,0,7633,71104
2020-05-26,0,8134,74560
2020-05-27,0,8597,78023
2020-05-28,0,9044,81400
2020-05-29,0,9415,84627
2020-05-30,0,9779,87512
2020-05-31,0,9930,90664
2020-06-01,0,10167,93434
2020-06-02,0,10637,97325
2020-06-03,0,11728,101238
2020-06-04,0,12545,105680
2020-06-05,0,13170,110026
2020-06-06,0,13511,113619
2020-06-07,0,13699,117103
2020-06-08,0,14053,120102
2020-06-09,0,14649,124301
2020-06-10,0,15357,129184
2020-06-11,0,15944,133974
2020-06-12,0,16448,139196
2020-06-13,0,16872,142689
2020-06-14,0,17141,146837
2020-06-15,0,17580,150263
2020-06-16,0,18310,154862
2020-06-17,0,19080,159792
2020-06-18,0,19747,165453
2020-06-19,0,20394,170485
2020-06-20,0,20781,175202
2020-06-21,0,21825,180545
2020-06-22,0,22584,185122
2020-06-23,0,23377,191410
2020-06-24,0,24324,196847
2020-06-25,0,25060,202951
2020-06-26,0,25779,208392
2020-06-27,0,26381,212802
2020-06-28,0,26648,216852
2020-06-29,0,27121,220657
2020-06-30,0,27769,226088
2020-07-01,0,28510,231770
2020-07-02,0,29189,238509
2020-07-03,0,29843,245251
2020-07-04,0,30366,252165
2020-07-05,0,30639,256848
2020-07-06,0,31119,261750
2020-07-07,0,32014,268008
2020-07-08,0,32796,275003
2020-07-09,0,33526,282283
2020-07-10,0,34191,289174
2020-07-11,0,34730,295268
2020-07-12,0,35006,299750
2020-07-13,0,35491,304435
2020-07-14,0,36327,311486
2020-07-15,0,36906,317635
2020-07-16,0,37574,324041
2020-07-17,0,38310,331298
2020-07-18,0,38888,338913
2020-07-19,0,39184,344224
2020-07-20,0,39485,349396
2020-07-21,0,40400,356255
2020-07-22,0,41190,362274
2020-07-23,0,41908,370712
2020-07-24,0,42645,378285
2020-07-25,0,43374,385036
2020-07-26,0,43680.0,390516
2020-07-27,0,44022,395489
2020-07-28,0,44876,402697
2020-07-29,0,45361.0,408449
2020-07-30,0,46000,416179
2020-07-31,0,46688,424637
2020-08-01,0,47472,434193
2020-08-02,0,47746,439046
2020-08-03,0,48012,443813
2020-08-04,0,48869,449961
2020-08-05,0,49698,456100
2020-08-06,0,50517,462690
2020-08-07,0,51311,469407
2020-08-08,0,52006,475902
2020-08-09,0,52298,480278
2020-08-10,0,53003,485836
2020-08-11,0,53929,492522
2020-08-12,0,54666,498380
2020-08-13,0,55293,505751
2020-08-14,0,55908,511369
2020-08-15,0,56543,517714
2020-08-16,0,56757,522162
2020-08-17,0,57023,525733
2020-08-18,0,57774.0,531239
2020-08-19,0,58481,537031
2020-08-20,0,59106,543806
2020-08-21,0,59610.0,549734
2020-08-22,0,60254,556216
2020-08-23,0,60480.0,560164
2020-08-24,0,60800,563705
2020-08-25,0,61450,568621
2020-08-26,0,62076,573888
2020-08-27,0,62594,579914
2020-08-28,0,63146,585738
2020-08-29,0,63819,591712
2020-08-30,0,64158,595841
2020-08-31,0,64414,599560.0
2020-09-01,0,65241,606036
2020-09-02,0,65816,610957
2020-09-03,0,66329,616893
2020-09-04,0,66851,623090
2020-09-05,0,67326,629408
2020-09-06,0,67558,634023
2020-09-07,0,67781.0,637509
2020-09-08,0,68484,642860
2020-09-09,0,69095,647507
2020-09-10,0,69649,652364
2020-09-11,0,70183.0,658299
2020-09-12,0,70604,663973
2020-09-13,0,70821,668381
2020-09-14,0,71049,671716
2020-09-15,0,71678,676487
2020-09-16,0,71978,680931
2020-09-17,0,72179.0,684113
2020-09-18,0,72803,688954
2020-09-19,0,73258.0,694121
2020-09-20,0,73493,697663
2020-09-21,0,73697,700580
2020-09-22,0,74348,705263
2020-09-23,0,74949,710049
2020-09-24,0,75439,715457
2020-09-25,0,75844,720858
2020-09-26,0,76243.0,726431
2020-09-27,0,76430,730317
2020-09-28,0,76603,733717
2020-09-29,0,77163,738163
2020-09-30,0,77646,743216
2020-10-01,0,78078,748315
2020-10-02,0,78492,753090
2020-10-03,0,78880.0,757953
2020-10-04,0,79088,761665
